,animal_id,name,animal_type,outcome_subtype,sex_upon_outcome,age_upon_outcome
676,A673611,Blackie,Dog,Aggressive,Male,2 years
1774,A701992,Tau,Dog,Aggressive,Male,5 years
883,A679533,Star,Dog,Aggressive,Female,3 years
520,A669416,Espana,Dog,Aggressive,Female,1 year
1707,A700027,,Dog,Aggressive,Female,1 year
2333,A721573,Squirt,Dog,Aggressive,Male,1 year
508,A669105,*Roscoe,Dog,Aggressive,Male,2 years
509,A669130,Benjaman,Dog,Aggressive,Male,5 years
510,A669133,*Q,Dog,Aggressive,Male,4 years
2332,A721565,Arthur,Dog,Aggressive,Male,9 years
2115,A710763,Ralph,Dog,Aggressive,Male,5 years
1778,A702065,Kush,Dog,Aggressive,Male,1 year
2338,A721777,Luna,Dog,Aggressive,Female,4 years
514,A669240,,Dog,Aggressive,Male,4 years
2588,A737358,Bear,Dog,Aggressive,Male,1 year
1776,A702006,,Dog,Aggressive,Female,5 years
483,A668438,,Dog,Aggressive,Male,2 years
1773,A701991,Ursa,Dog,Aggressive,Female,5 years
485,A668440,,Dog,Aggressive,Male,< 1 year
2330,A721442,,Dog,Aggressive,Female,1 year
523,A669485,Shades,Dog,Aggressive,Male,2 years
2116,A710853,Oso,Dog,Aggressive,Male,2 years
2112,A710720,Honey,Dog,Aggressive,Female,2 years
502,A668912,Bella,Dog,Aggressive,Female,3 years
501,A668893,Axel,Dog,Aggressive,Male,2 years
474,A668210,Hazel,Dog,Aggressive,Female,2 years
2546,A734221,Dro,Dog,Aggressive,Male,2 years
2104,A710451,Henry,Dog,Aggressive,Male,4 years
481,A668421,Babaloo,Dog,Aggressive,Male,2 years
1096,A684871,Boomer,Dog,Aggressive,Male,1 year
482,A668433,*Hoop,Dog,Aggressive,Male,2 years
1120,A685301,Brandie,Dog,Aggressive,Female,2 years
1731,A700769,Max,Dog,Aggressive,Male,1 year
570,A670477,*Mika,Dog,Aggressive,Female,1 year
562,A670331,,Dog,Aggressive,Female,2 years
1486,A694167,Zeus,Dog,Aggressive,Male,1 year
2105,A710453,Spawn,Dog,Aggressive,Male,3 years
