animal_id,name,animal_type,outcome_subtype,sex_upon_outcome,age_upon_outcome
A208755,Kootrie,Dog,Suffering,Neutered Male,14 years
A214991,Prissy,Cat,Suffering,Spayed Female,19 years
A218622,Oliver,Dog,Suffering,Neutered Male,15 years
A218624,Cookie,Dog,Suffering,Neutered Male,15 years
A221327,Jamie,Dog,Suffering,Spayed Female,16 years
A230482,Dakota Dean,Dog,Suffering,Intact Male,13 years
A251095,Beauty,Dog,Medical,Spayed Female,14 years
A254503,Daisy,Dog,Suffering,Spayed Female,17 years
A258441,Spring,Cat,Suffering,Spayed Female,14 years
A261770,Halo,Cat,Suffering,Neutered Male,20 years
A268022,China,Dog,Suffering,Spayed Female,13 years
A271790,Grant,Dog,Medical,Neutered Male,12 years
A279920,Carry,Dog,Behavior,Neutered Male,12 years
A283735,Angel,Dog,Suffering,Spayed Female,13 years
A298677,Polly,Dog,Suffering,Spayed Female,13 years
A305674,Crystal,Dog,Suffering,Spayed Female,12 years
A307398,Bacca,Dog,Suffering,Spayed Female,13 years
A318574,Huey,Cat,Suffering,Neutered Male,13 years
A318615,Buddy,Dog,Suffering,Neutered Male,14 years
A325999,Precious,Dog,Suffering,Spayed Female,12 years
A334065,Romeo,Dog,Suffering,Neutered Male,12 years
A335950,Doyle,Dog,Suffering,Neutered Male,12 years
A337187,Buster,Dog,Suffering,Neutered Male,12 years
A337859,Benny,Dog,Suffering,Neutered Male,14 years
A346884,Dolly,Dog,Suffering,Spayed Female,11 years
A358879,Simba,Dog,Suffering,Neutered Male,13 years
A367012,Miller,Dog,Suffering,Neutered Male,11 years
A378353,Lyla,Dog,Suffering,Intact Female,10 years
A380320,Scooby,Dog,Aggressive,Neutered Male,9 years
A380506,Ruby,Dog,Suffering,Spayed Female,12 years
A383036,Oreo,Cat,Suffering,Neutered Male,14 years
A419161,Atom,Cat,Suffering,Neutered Male,17 years
A427866,Gus,Dog,Suffering,Neutered Male,8 years
A430501,Rosie,Dog,Suffering,Spayed Female,11 years
A430671,,Dog,Suffering,Spayed Female,8 years
A443085,Shadow,Dog,Behavior,Neutered Male,8 years
A448750,Odie,Dog,Aggressive,Neutered Male,9 years
A458233,Cinnamon,Dog,At Vet,Spayed Female,12 years
A464652,Buddy,Dog,Rabies Risk,Intact Male,11 years
A466858,Snowball,Cat,Suffering,Spayed Female,8 years
A467213,Moon Shadow,Cat,Suffering,Spayed Female,8 years
A467387,Princess,Dog,Behavior,Spayed Female,9 years
A473179,Rodeo,Dog,Aggressive,Neutered Male,7 years
A476706,Rocky,Dog,Aggressive,Neutered Male,8 years
A476874,Dolla,Dog,Suffering,Spayed Female,9 years
A478579,Natasha,Dog,Medical,Spayed Female,12 years
A482046,Charlie,Dog,Suffering,Neutered Male,7 years
A487470,Midnight,Dog,Aggressive,Neutered Male,9 years
A489376,Buster,Dog,Medical,Neutered Male,11 years
A489503,Dezi,Cat,Suffering,Spayed Female,7 years
A490091,Oreo,Dog,Suffering,Spayed Female,9 years
A491810,Katie,Dog,Suffering,Spayed Female,8 years
A493761,Shorte,Dog,Suffering,Neutered Male,13 years
A494990,Milo,Dog,Suffering,Neutered Male,11 years
A496789,Arabella,Cat,Suffering,Spayed Female,7 years
A498842,Shine,Dog,Aggressive,Intact Male,8 years
A500002,Bruce Lee,Dog,Aggressive,Intact Male,7 years
A503376,Lobo,Dog,Rabies Risk,Intact Male,7 years
A507614,Madaket,Dog,Aggressive,Neutered Male,6 years
A507728,Roxie,Dog,Suffering,Spayed Female,11 years
A508027,Sasha,Dog,Suffering,Intact Female,9 years
A509204,Fiona,Dog,Suffering,Spayed Female,12 years
A516260,Skye,Dog,Rabies Risk,Spayed Female,10 years
A519888,Luke,Dog,Aggressive,Neutered Male,6 years
A520195,Trudy,Cat,Suffering,Spayed Female,5 years
A522952,Kira,Dog,Suffering,Intact Female,9 years
A523396,Star,Dog,Aggressive,Spayed Female,6 years
A525938,Rocky,Dog,Aggressive,Neutered Male,6 years
A527094,Onix,Cat,Suffering,Neutered Male,10 years
A527170,Olive,Dog,Aggressive,Spayed Female,6 years
A529890,Vegas,Dog,Aggressive,Intact Male,9 years
A530190,Tyco,Dog,Aggressive,Neutered Male,9 years
A532455,Crumpet,Dog,Suffering,Neutered Male,8 years
A533557,Jake,Dog,Behavior,Neutered Male,5 years
A537149,Lucky,Dog,Suffering,Neutered Male,7 years
A537247,Ambrot,Dog,Aggressive,Intact Male,6 years
A538454,Dolly,Dog,Suffering,Spayed Female,8 years
A539388,Chloe,Dog,Aggressive,Spayed Female,6 years
A539485,Chuny,Dog,Aggressive,Neutered Male,6 years
A540495,Country,Dog,Behavior,Intact Male,5 years
A542712,Harmony,Cat,Suffering,Spayed Female,4 years
A543178,Ernest T,Dog,Aggressive,Neutered Male,8 years
A543377,Tasha,Cat,Suffering,Spayed Female,6 years
A544916,Blue,Dog,Suffering,Intact Male,13 years
A545127,Ittybitty,Dog,Aggressive,Spayed Female,6 years
A547472,Guerra,Dog,Aggressive,Spayed Female,5 years
A547803,Sheba,Dog,Suffering,Spayed Female,17 years
A548112,Grimm,Dog,Aggressive,Neutered Male,5 years
A548770,Firecat,Cat,Rabies Risk,Neutered Male,6 years
A548939,Leo,Dog,Aggressive,Neutered Male,7 years
A548948,Ivory,Dog,Suffering,Spayed Female,7 years
A550885,Princess,Dog,Suffering,Spayed Female,13 years
A551426,Lluvia,Dog,Behavior,Spayed Female,8 years
A551669,Salem,Cat,Suffering,Neutered Male,7 years
A552202,Delores,Dog,Suffering,Intact Female,9 years
A554674,Chloe,Dog,At Vet,Spayed Female,11 years
A558566,Honey,Dog,Aggressive,Spayed Female,5 years
A559240,Chikita,Dog,Suffering,Spayed Female,19 years
A559331,Kat,Cat,Suffering,Neutered Male,10 years
A560718,Coco,Dog,Aggressive,Spayed Female,5 years
A562220,Scooby,Dog,Aggressive,Neutered Male,5 years
A562221,Silver,Dog,Aggressive,Spayed Female,6 years
A562649,,Dog,Suffering,Spayed Female,14 years
A563010,Nikki,Dog,Aggressive,Spayed Female,8 years
A563397,Braxton,Dog,Suffering,Neutered Male,11 years
A565221,Prieto,Dog,Rabies Risk,Intact Male,8 years
A565312,Bella,Dog,Aggressive,Spayed Female,5 years
A565498,Dukey,Dog,Aggressive,Neutered Male,7 years
A565562,Bubbles,Dog,Behavior,Spayed Female,5 years
A567057,Rocky,Dog,Suffering,Neutered Male,10 years
A567323,Tiffany,Dog,Suffering,Spayed Female,7 years
A568219,Max,Dog,Aggressive,Neutered Male,5 years
A568306,Roscoe,Cat,Suffering,Neutered Male,9 years
A569147,Blou,Dog,Aggressive,Neutered Male,4 years
A570611,Buster,Dog,Suffering,Intact Male,16 years
A575017,Sam,Dog,Suffering,Neutered Male,16 years
A575211,Chico,Dog,Rabies Risk,Neutered Male,7 years
A576207,,Cat,Suffering,Neutered Male,4 years
A577602,Rhino,Dog,Medical,Neutered Male,7 years
A577780,Brandie,Dog,Aggressive,Spayed Female,7 years
A578097,Juno,Cat,Suffering,Spayed Female,6 years
A578374,Rocky,Dog,Medical,Neutered Male,6 years
A580685,Bella,Dog,Aggressive,Spayed Female,4 years
A582002,Rocky,Dog,Aggressive,Neutered Male,6 years
A583357,Pom Pom,Dog,Behavior,Spayed Female,6 years
A584452,Tuck,Dog,Aggressive,Neutered Male,7 years
A584516,Scooby,Dog,Suffering,Neutered Male,8 years
A585940,Brolli,Dog,Aggressive,Neutered Male,5 years
A586273,Midnight,Dog,Suffering,Neutered Male,9 years
A586304,Ginger,Dog,Medical,Spayed Female,3 years
A586665,Pichin,Dog,Aggressive,Neutered Male,4 years
A590089,Chino,Dog,Aggressive,Spayed Female,5 years
A590629,Leonard,Dog,Aggressive,Neutered Male,6 years
A594492,Trey,Dog,Suffering,Neutered Male,9 years
A594904,Tashi,Dog,Suffering,Neutered Male,5 years
A596356,Sophia,Dog,Aggressive,Spayed Female,4 years
A597023,Rusty,Dog,Rabies Risk,Neutered Male,2 years
A597415,Bock,Dog,Aggressive,Neutered Male,4 years
A597665,Asawan,Dog,Aggressive,Spayed Female,5 years
A598308,Getzy,Dog,Aggressive,Spayed Female,4 years
A598335,Jack,Dog,Aggressive,Intact Male,6 years
A598424,Shark,Dog,Suffering,Neutered Male,4 years
A599155,Machete,Dog,Suffering,Neutered Male,4 years
A600617,Gypsie,Cat,Suffering,Spayed Female,9 years
A601488,Apollo,Dog,Aggressive,Intact Male,3 years
A601822,Rabi,Cat,Suffering,Neutered Male,4 years
A601863,Tyson,Dog,Court/Investigation,Intact Male,5 years
A605772,*Hector,Dog,Behavior,Neutered Male,2 years
A605804,Shayla,Dog,Aggressive,Spayed Female,4 years
A606120,Archie,Dog,Behavior,Neutered Male,4 years
A606788,*Brock,Dog,Aggressive,Neutered Male,4 years
A607074,Nala,Dog,Aggressive,Spayed Female,2 years
A607543,Pitty,Dog,Aggressive,Neutered Male,5 years
A608475,Wicked,Dog,Aggressive,Neutered Male,3 years
A609717,Baby,Dog,Aggressive,Spayed Female,3 years
A610632,Dottie,Dog,Suffering,Spayed Female,6 years
A610772,Max,Dog,Aggressive,Neutered Male,4 years
A611573,Riri,Dog,Medical,Intact Female,8 years
A611929,Bam Bam,Dog,Aggressive,Intact Male,4 years
A611931,Sexy,Dog,Aggressive,Intact Female,4 years
A612620,Charlie,Dog,Suffering,Neutered Male,7 years
A613290,Boy,Dog,Aggressive,Neutered Male,4 years
A613536,Titus,Dog,Aggressive,Neutered Male,6 years
A613553,Beast,Dog,Aggressive,Neutered Male,4 years
A613650,Diamond,Dog,Aggressive,Spayed Female,6 years
A613785,Casper,Dog,Aggressive,Neutered Male,3 years
A614177,Diamond,Dog,Behavior,Intact Female,2 years
A614458,Rex,Dog,Suffering,Neutered Male,8 years
A615008,*Thauti,Dog,Aggressive,Intact Male,2 years
A615165,Duke,Dog,Aggressive,Neutered Male,2 years
A615748,Blackie,Dog,Suffering,Neutered Male,5 years
A616257,Grayson,Dog,Rabies Risk,Neutered Male,3 years
A616295,Baby,Dog,Behavior,Spayed Female,6 years
A616374,Sasha,Dog,Court/Investigation,Spayed Female,4 years
A616456,Star,Dog,Behavior,Spayed Female,3 years
A616487,Jack,Dog,Aggressive,Neutered Male,4 years
A617429,Jun,Dog,Rabies Risk,Neutered Male,5 years
A618687,Buddy,Dog,Suffering,Neutered Male,12 years
A619134,Bullett,Dog,Aggressive,Neutered Male,6 years
A619150,Bruno,Dog,Aggressive,Intact Male,6 years
A619157,Zebra,Dog,Aggressive,Spayed Female,3 years
A619170,Golosa,Dog,Suffering,Spayed Female,10 years
A619269,Princessa,Dog,Suffering,Intact Female,2 years
A619960,*Mambo,Cat,Suffering,Neutered Male,6 years
A620379,Blackie,Dog,Rabies Risk,Neutered Male,3 years
A620557,Button,Cat,Suffering,Spayed Female,13 years
A620900,Roswell,Dog,Rabies Risk,Intact Male,5 years
A621845,Dutchess,Dog,Suffering,Intact Female,9 years
A622036,,Cat,Suffering,Neutered Male,4 years
A622215,*Herk,Dog,Rabies Risk,Neutered Male,5 years
A622978,Sugar,Dog,Aggressive,Spayed Female,5 years
A623883,Ghost,Dog,Aggressive,Intact Male,5 years
A624949,Axle,Dog,Aggressive,Neutered Male,3 years
A625197,Chloe,Dog,Aggressive,Spayed Female,3 years
A625626,Olenta,Dog,Suffering,Intact Female,7 years
A625940,,Cat,Suffering,Neutered Male,8 years
A627950,*Daisy,Dog,Suffering,Spayed Female,9 years
A628159,Delgado,Dog,Aggressive,Neutered Male,4 years
A628319,Gringa,Dog,Suffering,Spayed Female,9 years
A628417,Coby,Dog,Court/Investigation,Neutered Male,5 years
A629162,Red,Dog,Aggressive,Spayed Female,4 years
A629207,*Teddy Bear,Dog,Aggressive,Neutered Male,8 years
A629706,Patron,Dog,Aggressive,Intact Male,5 years
A630068,Princess,Dog,Aggressive,Intact Female,5 years
A630172,Hazel,Dog,Aggressive,Intact Female,3 years
A631224,Gray Scale,Cat,Suffering,Neutered Male,15 years
A631538,Equinox,Dog,Aggressive,Neutered Male,2 years
A632020,Rocky,Dog,Behavior,Neutered Male,8 years
A632584,*Liberty,Dog,Aggressive,Spayed Female,2 years
A632814,King,Dog,Aggressive,Neutered Male,4 years
A633633,Ben,Dog,Behavior,Intact Male,2 years
A635622,*Quinn,Dog,Suffering,Neutered Male,10 years
A636638,Stella,Dog,Suffering,Spayed Female,6 years
A636667,Spark,Dog,Aggressive,Intact Male,2 years
A636828,Boss,Dog,Aggressive,Intact Male,2 years
A636900,Kountry,Dog,Aggressive,Neutered Male,4 years
A637451,Panther,Cat,Suffering,Neutered Male,5 years
A637506,Molly,Dog,Aggressive,Spayed Female,2 years
A637670,Shadow,Dog,Aggressive,Spayed Female,4 years
A638475,*Bluebird,Cat,Suffering,Spayed Female,3 years
A638819,Princess,Dog,Suffering,Spayed Female,10 years
A639771,Lady,Dog,Suffering,Spayed Female,11 years
A640789,Cupulin,Dog,Aggressive,Neutered Male,2 years
A640924,Loco,Dog,Rabies Risk,Intact Male,2 years
A641036,Tug,Dog,Aggressive,Neutered Male,4 years
A641250,*Rocky,Cat,Suffering,Neutered Male,2 years
A641887,Franny,Dog,Suffering,Spayed Female,9 years
A641952,Negra,Dog,Suffering,Intact Female,7 years
A642830,Django,Dog,Rabies Risk,Intact Male,3 years
A642867,,Cat,Suffering,Spayed Female,2 years
A643090,Shiner,Dog,Aggressive,Neutered Male,2 years
A644724,Fluffy,Dog,Suffering,Intact Male,9 years
A645075,Bear,Dog,Aggressive,Intact Male,6 years
A645246,Tyson,Dog,Suffering,Intact Male,2 years
A645673,Precious,Dog,Behavior,Intact Female,5 years
A646686,Blue,Dog,Aggressive,Neutered Male,1 year
A647098,Butch,Dog,Aggressive,Neutered Male,4 years
A647210,Tank,Dog,Medical,Neutered Male,3 years
A647355,Lemur,Dog,Aggressive,Neutered Male,7 years
A647492,Bueller,Dog,Aggressive,Neutered Male,6 years
A647538,Rocky,Dog,Aggressive,Neutered Male,4 years
A647578,Bella,Dog,Court/Investigation,Spayed Female,4 years
A647886,Lucy,Dog,Medical,Intact Female,10 years
A648065,Kerubin,Dog,Rabies Risk,Neutered Male,3 years
A648086,Yogottie,Dog,Rabies Risk,Neutered Male,1 year
A649385,*Dusty,Dog,Aggressive,Spayed Female,4 years
A649445,Blue,Dog,Rabies Risk,Neutered Male,5 years
A649490,Misty,Cat,Suffering,Spayed Female,4 years
A649704,Dot,Dog,At Vet,Spayed Female,9 years
A649970,*Thallo,Cat,Suffering,Neutered Male,5 years
A650069,Luke,Dog,Aggressive,Neutered Male,2 years
A650073,Blackberry,Dog,Aggressive,Spayed Female,3 years
A650104,Katie,Dog,Suffering,Intact Female,3 years
A650635,,Cat,Suffering,Neutered Male,3 years
A650905,Bella,Dog,Aggressive,Intact Female,3 years
A651249,Blackie,Dog,Aggressive,Spayed Female,3 years
A651257,,Cat,Suffering,Neutered Male,9 years
A651299,Fiona,Dog,Aggressive,Spayed Female,2 years
A651657,,Cat,Suffering,Neutered Male,5 years
A652358,Buddy,Dog,Rabies Risk,Neutered Male,8 years
A652379,Bubba,Cat,Suffering,Neutered Male,4 years
A652513,Peaches,Dog,Aggressive,Spayed Female,3 years
A653125,Chiquilin,Dog,Suffering,Intact Male,3 years
A654355,Kilo,Dog,Aggressive,Neutered Male,1 year
A654483,Chocolate,Dog,Aggressive,Neutered Male,2 years
A656477,Bowser,Dog,Behavior,Neutered Male,4 years
A656520,Emily,Cat,Suffering,Spayed Female,1 year
A656567,Sumo,Dog,Aggressive,Neutered Male,5 years
A656761,Gotti,Dog,Court/Investigation,Intact Male,7 years
A656967,Homer,Dog,Aggressive,Intact Male,3 years
A656968,Litle Girl,Dog,Aggressive,Spayed Female,3 years
A657286,Chako,Dog,Court/Investigation,Intact Male,1 year
A657375,Bella,Dog,Rabies Risk,Spayed Female,2 years
A657708,*Jolene,Dog,Aggressive,Spayed Female,2 years
A657709,*Roy,Dog,Aggressive,Neutered Male,2 years
A657753,Wiz,Dog,Aggressive,Neutered Male,1 year
A657764,Peyton,Dog,Behavior,Spayed Female,1 year
A658013,*Marcos,Dog,Behavior,Neutered Male,7 years
A658199,*Marley,Dog,Aggressive,Neutered Male,2 years
A658515,Barkley,Dog,Aggressive,Neutered Male,3 years
A658843,Rudy,Dog,Court/Investigation,Neutered Male,4 years
A660156,Big Boy,Dog,Aggressive,Neutered Male,4 years
A660295,Blue,Dog,Aggressive,Intact Male,2 years
A661676,Chori,Dog,Aggressive,Spayed Female,7 years
A661776,,Cat,Suffering,Spayed Female,6 years
A661789,Tank,Dog,Behavior,Neutered Male,2 years
A661911,*Oz,Dog,Behavior,Neutered Male,2 years
